Frame,Cell0_Detected,Cell1_Detected,Cell2_Detected,Cell3_Detected,Cell0_Matched,Cell1_Matched,Cell2_Matched,Cell3_Matched,Cell0_ProcTime_ms,Cell1_ProcTime_ms,Cell2_ProcTime_ms,Cell3_ProcTime_ms
294,171,250,250,250,167,250,247,250,164.847,182.647,174.564,176.83
295,171,250,250,250,171,250,250,249,156.385,184.88,188.647,199.696
296,191,250,250,250,2,5,3,5,168.24,183.969,183.34,183.61
297,191,250,250,250,191,246,248,249,149.074,170.383,168.404,169.303
298,202,250,250,250,0,5,0,2,157.6,173.284,171.498,171.518
299,202,250,250,250,202,249,250,250,151.298,168.561,168.869,171.824
300,210,250,250,250,0,6,2,2,154.982,171.578,170.054,173.41
301,210,250,250,250,210,250,250,250,153.215,176.26,168.038,168.745
302,210,250,250,250,210,250,250,250,154.215,166.591,166.922,170.859
303,224,250,250,250,1,2,1,7,159.682,166.67,165.385,167.082
304,224,250,250,250,223,250,250,249,166.585,167.884,168.809,168.928
305,234,250,250,250,6,2,0,5,163.615,170.619,167.78,169.205
306,234,250,250,250,233,250,249,250,173.54,179.668,189.757,184.748
307,234,250,250,250,234,250,250,250,173.435,180.644,188.643,188.242
308,223,250,250,250,3,6,2,3,171.184,181.565,172.58,172.006
309,224,250,250,250,222,250,250,250,169.329,178.31,178.638,173.15
310,248,250,250,250,2,1,5,4,214.027,201.3,185.502,188.837
311,248,250,250,250,247,246,250,250,192.159,206.904,221.635,206.196
312,239,250,250,250,0,13,6,3,194.634,245.801,176.247,196.951
313,239,250,250,250,236,250,250,250,166.239,179.532,171.189,176.536
314,239,250,250,250,239,250,250,250,214.116,188.396,187.99,219.997
315,248,250,250,250,3,3,0,2,171.924,176.654,173.771,186.082
316,248,250,250,250,243,250,246,250,171.255,176.251,174.092,176.357
317,231,250,250,250,2,1,2,2,167.854,188.56,175.127,175.341
318,231,250,250,250,231,250,250,248,163.083,173.05,172.618,172.067
319,231,250,250,250,231,250,250,250,164.377,175.003,174.062,173.82
320,212,250,250,250,5,2,3,8,167.994,175.459,174.845,175.413
321,212,250,250,250,211,250,250,250,161.055,175.032,182.533,181.216
322,223,250,250,250,3,11,1,4,163.1,174.732,172.782,176.206
323,223,250,250,250,220,250,250,250,162.972,176.128,171.893,171.488
324,230,250,250,250,3,2,1,4,167.401,176.494,172.508,173.058
325,230,250,250,250,229,250,250,250,164.208,174.279,171.628,172.24
326,230,250,250,250,230,250,250,250,167.456,171.969,171.079,170.989
327,233,250,250,250,2,6,1,6,167.75,174.548,175.149,173.601
328,232,250,250,250,226,247,249,250,174.22,184.842,190.657,179.437
329,236,250,250,250,0,3,2,2,176.785,171.596,173.094,172.643
330,230,250,250,250,96,125,119,158,157.649,171.386,171.327,168.483
331,230,250,250,250,230,250,250,250,165.139,171.748,169.976,171.109
332,228,250,250,250,1,2,0,8,157.139,169.577,168.13,175.556
333,228,250,250,250,225,250,250,250,160.616,168.458,169.786,171.634
334,250,250,250,250,1,4,4,4,164.007,169.078,166.82,169.121
335,250,250,250,250,235,244,238,249,166.459,166.992,175.374,177.304
336,250,250,250,250,3,10,3,3,168.453,168.833,167.538,168.299
337,250,250,250,250,242,245,246,247,160.925,167.679,164.971,168.375
338,250,250,250,250,250,250,250,250,163.469,181.05,166.054,171.067
339,250,250,250,250,4,3,1,3,170.166,173.745,171.242,168.627
340,250,250,250,250,242,248,245,249,163.438,170.084,164.746,165.888
341,250,250,250,250,2,4,3,9,171.314,171.956,169.146,169.389
342,250,250,250,250,240,243,244,250,163.954,163.206,164.832,171.449
343,250,250,250,250,250,250,250,250,173.26,173.434,164.621,165.847
344,250,250,250,250,2,2,2,2,165.528,167.226,163.65,166.981
345,250,250,250,250,248,247,242,249,161.167,165.862,171.046,165.787
346,250,250,250,250,6,7,1,4,165.074,167.638,162.46,167.643
347,250,250,250,250,250,250,247,249,164.647,169.843,163.977,164.023
348,250,250,250,250,8,5,1,4,165.562,179.512,168.483,167.97
